industry,region,account_manager,contact_channel,prior_brand,fleet_size,credit_score,response_time_hours,distance_to_station_km,has_association,email_valid,promo_offered,season,converted_60d,first_month_volume_l
Trucking,AB,PP-East,WebForm,Shell,68,614.9791785916291,17.71916924895968,9.693716334981449,0,0,1,Fall,0,0.0
Trucking,MB,PP-East,Email,Shell,30,618.2944321330684,11.39699883978011,15.239858551397415,0,1,1,Fall,1,3998.7672395201807
Construction,AB,DL,LinkedIn,None,72,686.3774693665225,23.818504393070786,29.875089969581456,0,1,1,Summer,0,0.0
Services,ON,DL,Phone,Other,19,569.6970553205693,22.7660296732398,9.836824463236464,0,1,1,Summer,1,2695.672782480318
Agriculture,SK,PP-West,LinkedIn,None,43,712.8389171644255,18.146801398897114,15.355719142825986,0,1,0,Summer,0,0.0
Construction,SK,PP-East,Phone,Other,61,566.1388302128958,10.10013646132397,22.062231606955542,1,1,1,Fall,1,7707.7007960384735
Trucking,AB,PP-West,Phone,Shell,5,610.2379154986842,19.29929854166074,21.122026247554242,1,1,0,Fall,0,0.0
Logistics,ON,PP-West,Referral,None,74,765.3767716439946,17.302012142378622,12.093731341754921,0,1,0,Winter,1,9994.950043575212
Construction,AB,PP-East,Email,None,29,717.6412856985453,4.66525681265799,7.067109623658894,1,1,1,Summer,0,0.0
Services,AB,ARL,Email,Chevron,40,655.8562395497264,3.2818764867581436,16.13362254918773,1,1,0,Spring,0,0.0
Mining,AB,PP-East,LinkedIn,Shell,50,593.568187069927,23.651533788097694,5.755794068984422,0,0,0,Fall,0,0.0
Logistics,MB,ARL,WebForm,None,51,618.2436615980064,8.018883150516888,23.75949784752985,0,1,0,Summer,1,5967.767360464442
Trucking,AB,PP-East,Email,Chevron,2,654.3965188751417,20.0541052696126,13.355790969546085,0,0,0,Fall,0,0.0
Logistics,ON,PP-West,Email,Esso,69,652.2513939403759,13.219169422461755,19.997392158975913,1,1,1,Spring,0,0.0
Logistics,SK,DL,WebForm,None,50,644.5477442224422,31.0824660687991,4.783110894551591,0,0,1,Summer,1,7190.9380888038395
Logistics,AB,DL,LinkedIn,None,79,648.150049154949,13.065317908461243,0.42005978640043473,1,1,0,Winter,1,12070.102220848925
Construction,AB,ARL,Referral,None,38,637.1374934176931,24.59484214251896,14.086035073129338,0,1,0,Fall,0,0.0
Trucking,AB,PP-West,Phone,Esso,49,563.4812758615992,14.030861587622084,11.731172480350864,0,1,0,Winter,1,6620.375010616926
Construction,SK,ARL,LinkedIn,None,35,619.00935547035,19.137481534861436,8.067673390742675,1,1,0,Spring,1,4889.020306734121
Agriculture,MB,ARL,Email,Esso,71,704.8774432392108,25.368365309200513,12.67729024586211,0,1,1,Fall,1,9379.49161619827
Trucking,AB,ARL,WebForm,None,66,567.899942146933,13.374442836754199,34.13948713625808,1,1,1,Fall,0,0.0
Construction,MB,ARL,Email,Shell,72,638.6266693076433,27.965548844984042,18.676204378952463,1,1,0,Spring,1,9105.903079356525
Construction,AB,DL,LinkedIn,None,40,600.8147642737493,8.063021228935169,20.39598884690655,1,1,0,Spring,1,4898.654403333786
Logistics,MB,DL,Email,None,63,656.6810257638866,20.94592842558379,18.751495132426847,0,1,1,Winter,1,7978.512181008086
Construction,ON,DL,Phone,Esso,29,626.6820091359909,27.22639722787853,23.835697150817545,1,1,1,Fall,1,3085.393230577698
Services,MB,ARL,LinkedIn,None,37,738.6436198984801,24.60037491790335,10.47942661679404,0,1,0,Winter,0,0.0
Logistics,SK,ARL,Phone,None,61,680.3949892514153,37.1644487673541,4.43809046140235,0,1,0,Winter,1,9008.243596207152
Trucking,MB,DL,WebForm,Other,7,571.2918100533673,10.365606826893394,10.491310935951923,1,0,0,Spring,1,832.4119583238656
Logistics,AB,ARL,Email,Other,57,690.2736806968219,4.2085074865141205,18.493885679972013,1,1,1,Winter,1,7066.53561274194
Construction,AB,PP-East,Phone,Esso,2,603.5208886242763,8.056648915048806,4.241596839079411,0,1,0,Winter,1,551.3011352051816
Services,AB,ARL,Email,None,46,615.3802177173479,24.60442566548437,10.589072396085356,0,1,0,Summer,1,6559.179217415458
Agriculture,BC,DL,Email,Shell,38,668.8291412064273,22.979229342693785,6.465842055981495,1,1,1,Summer,1,5496.270596773107
Mining,SK,DL,Email,Esso,38,620.4951548161919,19.022566596474157,24.016234014745045,1,0,1,Spring,1,4468.205417491877
Construction,SK,DL,Email,None,40,703.5713489793773,6.7704295089287,17.99565612325251,0,1,0,Fall,1,5052.3229808141095
Agriculture,ON,ARL,Email,None,39,603.5293963091963,25.66867293329061,17.212324965151673,1,1,0,Summer,1,4850.069165633864
Agriculture,AB,ARL,LinkedIn,Esso,33,612.8632068445182,5.752952223494596,16.97281050496777,0,0,0,Winter,1,4050.91694286435
Services,SK,PP-West,LinkedIn,None,36,610.6177463871135,29.589495823769,11.702005979582985,0,0,1,Summer,1,4664.526433257079
Logistics,AB,ARL,LinkedIn,Shell,45,616.0616750986976,46.57438423139865,13.580450260220028,1,1,0,Summer,1,5862.4887915055815
Agriculture,AB,DL,Email,Other,61,715.9514933328687,21.664511465715506,2.5185233557414595,1,1,1,Fall,0,0.0
Trucking,SK,DL,Email,Shell,44,687.7277776166181,23.83108135657743,5.4915358300045405,0,1,1,Winter,1,5985.22450564112
Trucking,ON,DL,Email,None,51,752.5966372407242,13.071402311044405,13.200649042760192,0,1,1,Winter,1,6852.339157474818
Agriculture,SK,DL,WebForm,None,67,786.0586522339553,0.5,14.591922050177155,0,1,1,Spring,1,8874.84564447635
Trucking,AB,PP-East,WebForm,None,79,588.1569780840596,11.972806369697777,21.67411654740302,1,1,0,Spring,1,10049.839542629616
Construction,SK,PP-West,Email,None,9,654.2251476396374,7.071047589012506,24.57068652865894,0,1,0,Fall,0,0.0
Services,AB,ARL,LinkedIn,Esso,57,579.4279810013941,3.529954235849843,24.559987879991574,0,1,1,Summer,1,6859.3209814752545
Services,ON,DL,Email,Esso,18,603.3436443351039,35.22359941995649,4.015811253648978,1,0,0,Summer,0,0.0
Construction,SK,ARL,Email,None,16,612.1950493846598,20.72862518025773,9.181879720401845,0,1,0,Summer,0,0.0
Logistics,AB,DL,Email,None,63,586.5707075517035,21.796875806139838,15.842674367051035,0,1,0,Fall,1,8351.256111344666
Construction,AB,PP-East,Email,Esso,6,586.8867636260952,14.909776348037504,32.25523742193742,0,1,0,Spring,1,813.1315567056122
Logistics,AB,ARL,LinkedIn,None,67,641.3429372887847,16.271289175565638,23.840793629711328,1,1,0,Winter,0,0.0
Trucking,ON,DL,WebForm,None,61,576.9968948968155,27.645506822393333,20.955177295987042,0,1,1,Winter,1,7501.039790171429
Logistics,BC,PP-West,Email,None,79,700.5276175482579,17.676628813047845,8.897696355605675,0,1,1,Spring,1,10899.846463173033
Logistics,MB,ARL,Phone,Chevron,53,594.9347877549492,23.30693938024733,4.9344029507590035,0,1,1,Summer,0,0.0
Mining,SK,DL,LinkedIn,None,69,800.0,16.039957021549842,18.311263067065916,1,0,1,Spring,1,8609.470004742025
Construction,BC,PP-East,Referral,Shell,10,622.9169329421363,14.578471092679528,3.1947098861251195,1,1,0,Spring,1,1335.6646216430986
Services,AB,ARL,Phone,None,71,654.3210585150231,3.930858343981381,10.092509192157578,0,1,1,Spring,1,9529.495456710127
Construction,ON,ARL,Email,Shell,13,572.2795289320379,1.7774906236712802,11.081776407984618,0,1,1,Fall,0,0.0
Construction,AB,ARL,Phone,None,25,752.3655054876583,15.384380989335982,24.743296712982463,1,1,0,Fall,0,0.0
Logistics,BC,PP-West,Email,None,11,717.170040848175,18.564966919932328,9.16242157632258,0,1,1,Winter,1,1342.4042168597346
Trucking,SK,ARL,Referral,None,32,667.8149522441668,5.1386996329120915,7.513997108580924,0,0,0,Winter,0,0.0
Services,SK,ARL,Email,None,60,569.1918470732261,17.65525134965367,16.035557181299747,0,1,0,Winter,0,0.0
Services,ON,ARL,LinkedIn,None,22,662.6400126634773,18.53752562990502,6.407825175168589,0,1,0,Fall,1,3062.800373495031
Trucking,AB,ARL,Email,None,65,582.7141372389647,3.5600800605937906,12.341048195501974,0,1,0,Spring,1,8609.22391827991
Services,BC,PP-East,Email,None,48,737.7413158084016,8.848753405204988,11.306362393263012,0,1,0,Fall,0,0.0
Trucking,BC,ARL,WebForm,None,50,698.5516839111904,22.072638937354686,9.810368033457854,0,1,1,Summer,0,0.0
Agriculture,BC,PP-East,Phone,Other,75,655.7263423092642,21.87058729395744,18.322724654277632,0,0,1,Summer,1,9734.576646402802
Trucking,AB,PP-East,Email,None,35,503.81746020516067,6.463250836002395,0.2629190268216579,1,1,0,Spring,1,5189.353137844113
Services,AB,PP-West,WebForm,Esso,28,590.9950412804582,19.584480504997348,7.863886200365118,0,1,1,Spring,0,0.0
Construction,AB,ARL,WebForm,Other,79,691.2656678959924,28.22407225360472,17.47230330493905,0,1,0,Winter,1,9873.948996168236
Construction,AB,PP-West,Email,None,45,722.7730215033894,25.77072958990898,7.087321797245054,1,1,1,Summer,1,6401.979050964036
Trucking,BC,PP-East,Phone,Shell,49,716.5501886895279,17.047142129860653,0.8704536741597746,0,1,0,Spring,1,7475.72839290295
Services,SK,ARL,Phone,Esso,24,554.4792198655127,13.320236866757076,17.348442746053887,1,1,0,Spring,1,3134.2109689257586
Services,SK,PP-East,Phone,Shell,18,668.0931384087743,11.706555156654955,20.984757043532312,0,1,1,Winter,1,2675.609299803408
Logistics,BC,PP-West,Email,None,14,710.9309129889758,22.678197829096572,11.64003833885595,1,1,1,Fall,1,2182.2568195641043
Services,BC,ARL,Email,None,18,550.4998660650652,19.95103973142888,3.6867647877562604,0,1,1,Fall,0,0.0
Services,AB,PP-West,WebForm,None,16,649.5257290776058,24.294040061022002,17.64775797359053,0,1,1,Spring,0,0.0
Agriculture,BC,DL,WebForm,None,59,666.4305438985074,19.31873813121152,1.2791030513575041,0,1,1,Summer,1,8849.605493859455
Trucking,AB,PP-East,WebForm,Other,5,631.9541249091959,26.18763950347442,14.470394214785326,0,1,0,Fall,0,0.0
Mining,AB,PP-West,Referral,Other,50,538.8702886759279,18.945925329577,4.900289402062722,0,1,0,Summer,1,7426.989573677578
Logistics,BC,DL,LinkedIn,None,75,630.4581133955763,25.846887161316864,2.721285713864278,1,0,0,Summer,1,11067.19956869394
Trucking,BC,PP-West,WebForm,Chevron,61,630.3616741846986,26.708227703666388,8.464719863362479,1,1,0,Spring,1,8555.856892590318
Construction,AB,DL,WebForm,None,32,641.1156557271347,9.954733697751864,10.533619548581921,0,1,0,Summer,1,4516.045951610887
Logistics,BC,PP-East,Phone,Esso,5,616.1917144744958,0.5,6.846333996908414,1,1,0,Summer,1,1051.7763891931343
Trucking,BC,PP-East,Phone,None,66,623.4192708055119,33.434928560145536,16.709626225721205,1,1,0,Summer,1,8555.646906815502
Services,SK,ARL,Email,Other,1,647.6176230591814,20.566587307122617,8.43144497232933,1,1,1,Summer,0,0.0
Construction,SK,DL,Phone,Esso,54,676.5472762981826,0.8551410450387849,19.841526973374577,1,1,0,Summer,1,7062.440853961732
Construction,SK,DL,Email,None,54,631.7343942286,10.861805027812888,14.249385325147836,1,1,1,Winter,0,0.0
Services,AB,ARL,Email,None,16,625.4210642979199,25.718742923698283,6.419542347229536,0,1,1,Fall,0,0.0
Construction,MB,ARL,Phone,Esso,59,655.5412422952675,15.203231688671071,5.072480929341713,1,1,0,Fall,1,8476.941821192853
Construction,BC,DL,Email,None,14,534.7450444462891,12.87938580680873,1.1799703923795093,1,1,0,Winter,1,2118.4267013211183
Logistics,BC,ARL,Email,None,18,678.6221076335875,32.00881860312967,14.32586542293458,0,1,1,Spring,0,0.0
Services,SK,ARL,WebForm,Esso,65,649.9662141726225,7.527128536161895,9.163299621989136,0,1,1,Fall,1,8734.16193552556
Construction,AB,PP-East,WebForm,Shell,78,652.3816115958537,10.018466422451661,6.977564224508114,0,1,0,Spring,1,10711.190566550147
Trucking,BC,PP-East,Email,None,21,707.6440584556678,20.113864750482676,7.714281017844799,1,1,0,Fall,1,2770.0221188810833
Mining,SK,PP-East,Email,None,73,532.8310681971051,21.904549320538823,4.791727765960384,0,1,1,Fall,1,10319.807152753847
Services,ON,DL,Email,None,73,531.5699678084621,22.963430343407314,24.605420737365282,1,1,1,Fall,1,8575.990554920918
Agriculture,ON,PP-West,WebForm,Other,61,666.4282307194112,27.112380445689467,1.6222288951464776,1,1,0,Winter,1,9153.247175163082
Construction,BC,PP-East,WebForm,None,12,649.5729886922891,19.98578620681517,0.4691936021275698,1,1,0,Spring,0,0.0
Construction,BC,ARL,Email,None,24,660.210616591516,22.89383938938409,20.8797571448456,0,0,1,Summer,0,0.0
Construction,MB,ARL,WebForm,None,54,622.2723754896533,15.407907406849167,22.854105259711705,1,1,0,Fall,1,6312.487212961008
Construction,AB,PP-East,Email,Other,79,689.8612204543958,18.626983032367143,6.040136490194868,1,1,1,Winter,1,11161.208081009067
Logistics,MB,ARL,Email,None,65,705.9583305794672,19.075341800536343,6.943313417528713,0,1,0,Spring,1,9303.30731717476
Construction,BC,DL,Referral,Esso,34,679.0389376370916,20.15098135819036,16.929883172426504,1,1,1,Winter,1,4499.470456807234
Agriculture,AB,PP-West,Email,Chevron,19,634.3502924957251,25.725398075827606,6.616798375562482,0,1,0,Fall,0,0.0
Logistics,AB,ARL,Email,Esso,76,523.5386367431358,23.551456819448312,2.889549476044449,1,1,0,Fall,1,11157.825277051688
Logistics,MB,ARL,Email,Other,22,696.1541724822276,18.44217002900183,9.754132793194305,0,1,1,Winter,1,3471.5309188836227
Construction,AB,PP-West,Phone,Esso,28,723.3037199730555,9.908740150589601,24.39912452903301,0,1,0,Winter,0,0.0
Services,AB,PP-East,WebForm,Other,77,688.6735047190388,18.676712580627097,8.514159294666083,0,1,1,Spring,1,10591.874778659901
Logistics,AB,ARL,Referral,None,45,597.2214543579496,17.71982215104256,12.807494333881237,0,1,0,Fall,1,5994.825965846749
Logistics,AB,PP-West,Email,Esso,21,690.4276636200655,19.931815798131982,21.070314180512096,0,0,1,Spring,1,2615.3396742669242
Construction,AB,PP-West,Email,None,1,701.6317824776868,40.06525307140402,28.85507786622517,1,1,1,Spring,1,83.69747652910866
Construction,SK,DL,WebForm,None,34,743.5289748679452,12.762272214587647,7.3852122148134995,0,1,1,Spring,1,4779.857540735125
